week,criminal_damage,week_as_week
2016-07-03,74,2016 W26
2016-07-10,87,2016 W27
2016-07-17,83,2016 W28
2016-07-24,61,2016 W29
2016-07-31,74,2016 W30
2016-08-07,69,2016 W31
2016-08-14,82,2016 W32
2016-08-21,79,2016 W33
2016-08-28,64,2016 W34
2016-09-04,61,2016 W35
2016-09-11,63,2016 W36
2016-09-18,75,2016 W37
2016-09-25,72,2016 W38
2016-10-02,80,2016 W39
2016-10-09,77,2016 W40
2016-10-16,86,2016 W41
2016-10-23,55,2016 W42
2016-10-30,62,2016 W43
2016-11-06,69,2016 W44
2016-11-13,45,2016 W45
2016-11-20,82,2016 W46
2016-11-27,72,2016 W47
2016-12-04,79,2016 W48
2016-12-11,67,2016 W49
2016-12-18,66,2016 W50
2016-12-25,73,2016 W51
2017-01-01,66,2016 W52
2017-01-08,56,2017 W01
2017-01-15,77,2017 W02
2017-01-22,61,2017 W03
2017-01-29,69,2017 W04
2017-02-05,57,2017 W05
2017-02-12,68,2017 W06
2017-02-19,70,2017 W07
2017-02-26,55,2017 W08
2017-03-05,57,2017 W09
2017-03-12,51,2017 W10
2017-03-19,73,2017 W11
2017-03-26,68,2017 W12
2017-04-02,69,2017 W13
2017-04-09,65,2017 W14
2017-04-16,63,2017 W15
2017-04-23,55,2017 W16
2017-04-30,74,2017 W17
2017-05-07,88,2017 W18
2017-05-14,74,2017 W19
2017-05-21,66,2017 W20
2017-05-28,71,2017 W21
2017-06-04,63,2017 W22
2017-06-11,74,2017 W23
2017-06-18,76,2017 W24
2017-06-25,69,2017 W25
2017-07-02,81,2017 W26
2017-07-09,77,2017 W27
2017-07-16,82,2017 W28
2017-07-23,83,2017 W29
2017-07-30,77,2017 W30
2017-08-06,75,2017 W31
2017-08-13,85,2017 W32
2017-08-20,61,2017 W33
2017-08-27,58,2017 W34
2017-09-03,62,2017 W35
2017-09-10,55,2017 W36
2017-09-17,69,2017 W37
2017-09-24,66,2017 W38
2017-10-01,72,2017 W39
2017-10-08,57,2017 W40
2017-10-15,59,2017 W41
2017-10-22,102,2017 W42
2017-10-29,63,2017 W43
2017-11-05,60,2017 W44
2017-11-12,29,2017 W45
2017-11-19,52,2017 W46
2017-11-26,67,2017 W47
2017-12-03,50,2017 W48
2017-12-10,44,2017 W49
